step,wallclock_time,elapsed_time,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec
0,158.86278104782104,2.6477130174636843,9.256197929382324,,,0.0,96.32053367409159
0,181.70801973342896,3.028466995557149,,9.258789777755737,10496.422646447521,,
50,188.092702627182,3.1348783771197,8.177268028259277,,,3.75e-05,80285.01483274606
100,193.0018343925476,3.2166972398757934,6.333996772766113,,,7.5e-05,83780.33187602562
150,197.9854919910431,3.2997581998507184,4.94622802734375,,,0.0001125,77026.12848396809
200,202.13710403442383,3.3689517339070636,4.071113586425781,,,0.00015,92938.75994514515
250,207.04914617538452,3.4508191029230755,3.8198225498199463,,,0.00018749999999999998,81166.14233002461
300,212.0409083366394,3.53401513894399,3.557511568069458,,,0.000225,93987.69169832894
350,216.96242260932922,3.616040376822154,3.175464391708374,,,0.0002625,79688.61452542471
400,221.88750314712524,3.6981250524520872,3.1537206172943115,,,0.0002999999999999999,92770.13396692541
400,222.4578778743744,3.70763129790624,,3.111079549789429,22.445262104264312,,
450,228.9527337551117,3.8158788959185284,2.93672513961792,,,0.00029999893793135975,75815.33742715737
500,233.09228444099426,3.8848714073499044,3.0422399044036865,,,0.0002999957517421499,76773.47489313972
550,238.0160768032074,3.96693461338679,2.901613473892212,,,0.0002999904414825032,89753.35498296868
600,242.98913526535034,4.049818921089172,2.746554374694824,,,0.0002999830072359731,81948.01739142879
650,247.8580322265625,4.130967203776041,2.6406636238098145,,,0.0002999734491195325,89091.03214665387
700,252.7614405155182,4.212690675258637,2.5643796920776367,,,0.00029996176728357235,89993.84068664043
750,257.68287801742554,4.294714633623759,2.394524335861206,,,0.0002999479619118987,89700.16621285416
800,262.5267152786255,4.3754452546437586,2.557802200317383,,,0.00029993203322173,90299.41044232856
800,262.27712893486023,4.3712854822476706,,2.5561914920806883,12.886644849153997,,
850,268.71375703811646,4.478562617301941,2.4903712272644043,,,0.0002999139814636938,79078.79946605294
900,273.5805833339691,4.559676388899486,2.5061230659484863,,,0.00029989380692182295,91009.04897468361
950,278.4378750324249,4.640631250540415,2.486290216445923,,,0.0002998715099135508,80082.17661097852
1000,283.3878843784332,4.72313140630722,2.393508195877075,,,0.00029984709078970605,80874.22589407185
1050,288.25271344184875,4.804211890697479,2.28439998626709,,,0.0002998205499345079,82092.5109557065
1100,293.1194384098053,4.885323973496755,2.3785581588745117,,,0.0002997918877655594,80306.21856265732
1150,297.1773705482483,4.952956175804138,2.270447015762329,,,0.00029976110473384123,80741.38442920153
1200,302.00964736938477,5.03349412282308,2.369217872619629,,,0.0002997282013237043,87841.07283501807
1200,302.55547618865967,5.042591269810995,,2.305557608604431,10.029769379156173,,
1250,309.0246067047119,5.150410111745199,2.3326656818389893,,,0.00029969317805286257,88374.49457686144
1300,313.8602612018585,5.231004353364309,2.369746685028076,,,0.0002996560354723842,82062.1211356949
1350,318.7569808959961,5.312616348266602,2.4188404083251953,,,0.0002996167741666837,87916.81707994197
1400,323.6777894496918,5.394629824161529,2.1829566955566406,,,0.00029957539475351216,92041.75225686167
1450,327.7444305419922,5.4624071756998696,2.276373863220215,,,0.00029953189788394776,86456.34089622392
1500,332.62070894241333,5.543678482373555,2.1381266117095947,,,0.00029948628424238555,87296.30504142541
1550,337.47330594062805,5.624555099010467,2.2607710361480713,,,0.0002994385545465265,85185.2803078197
1600,342.3985960483551,5.706643267472585,1.964747428894043,,,0.0002993887095473663,89158.76756526726
1600,342.9550220966339,5.715917034943899,,2.176984465122223,8.819670094983143,,
1650,349.5138156414032,5.825230260690053,2.1364800930023193,,,0.0002993367500291838,80258.57277868227
1700,354.2962839603424,5.904938066005707,2.145474433898926,,,0.000299282676809528,79867.1776593346
1750,358.3744304180145,5.972907173633575,2.0680456161499023,,,0.0002992264907392061,79340.10138800052
1800,363.24291229248047,6.054048538208008,2.06608247756958,,,0.00029916819270226923,81347.35149852149
1850,368.0796468257904,6.13466078042984,2.0529637336730957,,,0.0002991077836159993,82975.2964723156
1900,373.0474841594696,6.217458069324493,2.0172781944274902,,,0.0002990452644308939,70618.98622754861
1950,378.1942398548126,6.303237330913544,2.1431851387023926,,,0.00029898063613065175,79804.66374945418
2000,383.2992868423462,6.388321447372436,2.0720555782318115,,,0.0002989138997321573,82723.58739972458
2000,383.8693025112152,6.397821708520254,,2.099149191379547,8.159225019616287,,
2050,389.7988214492798,6.496647024154663,1.973679780960083,,,0.0002988450562854644,75837.76062365777
2100,394.63310527801514,6.577218421300253,2.0133392810821533,,,0.0002987741068737798,95296.80178613527
2150,399.48817253112793,6.658136208852132,1.9312989711761475,,,0.00029870105261344654,84625.3118500968
2200,404.4604814052582,6.74100802342097,1.9905753135681152,,,0.0002986258946539259,83730.31218290192
2250,409.40823578834534,6.823470596472422,1.9741301536560059,,,0.00029854863417777945,86555.21808503939
2300,414.47555136680603,6.907925856113434,1.9114147424697876,,,0.00029846927240065075,78213.14466127487
2350,419.3818440437317,6.989697400728861,1.9406795501708984,,,0.00029838781057124565,84862.95705694209
2400,423.4806764125824,7.05801127354304,1.8940396308898926,,,0.0002983042499713132,84754.31512269242
2400,424.03265142440796,7.067210857073466,,2.0144393384456634,7.496523190404964,,
2450,430.7084057331085,7.178473428885142,2.0334675312042236,,,0.00029821859191562507,88542.5627752481
2500,435.58307576179504,7.2597179293632506,1.9819821119308472,,,0.0002981308377519551,79369.79159034157
2550,440.47671842575073,7.341278640429179,1.9801534414291382,,,0.0002980409888610581,92603.86580422596
2600,445.3598837852478,7.42266472975413,2.0095648765563965,,,0.0002979490466566481,76455.89593374365
