step,wallclock_time,elapsed_time,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec
0,161.9803431034088,2.6996723850568136,9.235689163208008,,,0.0,3.1965138023629303
0,187.54605197906494,3.125767532984416,,9.273518896102905,10652.169891903875,,
50,189.64039731025696,3.1606732885042828,9.20858097076416,,,1.171875e-06,16260.931427186819
100,190.42051672935486,3.173675278822581,9.169769287109375,,,2.34375e-06,14554.869381337092
150,191.13824081420898,3.185637346903483,9.06509780883789,,,3.515625e-06,20074.068013984182
200,191.80065059661865,3.1966775099436444,8.881470680236816,,,4.6875e-06,18819.08693213685
250,192.48431587219238,3.2080719312032064,8.674922943115234,,,5.859374999999999e-06,22689.63979460305
300,193.18423628807068,3.2197372714678445,8.649887084960938,,,7.03125e-06,13545.374340860351
350,193.8695878982544,3.23115979830424,8.034954071044922,,,8.203125e-06,26059.164741287255
400,194.52868819236755,3.2421448032061257,7.814074993133545,,,9.375e-06,26725.286208527268
450,195.21720695495605,3.2536201159159344,7.410059928894043,,,1.0546874999999999e-05,20366.105686430714
500,195.96017837524414,3.266002972920736,7.058965682983398,,,1.1718749999999999e-05,21398.657260153854
550,196.6889193058014,3.27814865509669,7.156197547912598,,,1.2890624999999998e-05,23321.933622936576
600,197.32692980766296,3.2887821634610495,6.58226203918457,,,1.40625e-05,25642.82052874167
650,198.03357338905334,3.3005595564842225,6.27211332321167,,,1.5234375e-05,22310.127659574468
700,198.71513867378235,3.3119189778963727,6.04556941986084,,,1.640625e-05,11959.566322495852
750,199.40465807914734,3.323410967985789,5.90491247177124,,,1.7578125e-05,17241.663305286147
800,200.10191822052002,3.3350319703420004,6.061545372009277,,,1.875e-05,26264.41524387261
850,200.78968024253845,3.346494670708974,5.357161521911621,,,1.9921874999999998e-05,22542.9200310722
900,201.4845130443573,3.358075217405955,5.252366542816162,,,2.1093749999999998e-05,16253.301000560072
950,202.2329716682434,3.370549527804057,5.188535690307617,,,2.2265624999999997e-05,17683.49512516469
1000,202.969731092453,3.3828288515408835,5.219346046447754,,,2.3437499999999997e-05,25336.648434366078
1050,203.6557228565216,3.3942620476086933,5.014959335327148,,,2.4609374999999997e-05,23082.78315454565
1100,204.4237892627716,3.407063154379527,5.003627300262451,,,2.5781249999999996e-05,17829.727076483676
1150,205.2122025489807,3.420203375816345,5.311266899108887,,,2.6953124999999996e-05,14014.041216930525
1200,205.98244094848633,3.4330406824747723,4.699587345123291,,,2.8125e-05,27382.292199015632
1250,206.78215336799622,3.446369222799937,5.425655841827393,,,2.9296875e-05,21356.52135171152
1300,207.53104257583618,3.45885070959727,4.844439506530762,,,3.046875e-05,12635.229748176042
1350,208.3635892868042,3.4727264881134032,4.455362319946289,,,3.1640625e-05,13781.999820303174
1400,209.10628056526184,3.485104676087697,4.555288314819336,,,3.28125e-05,13705.476156438272
1450,209.93473100662231,3.4989121834437054,4.749693870544434,,,3.3984375e-05,17890.92615302586
1500,210.66633653640747,3.5111056089401247,4.755527019500732,,,3.515625e-05,29027.89467423628
1550,211.4627869129181,3.524379781881968,4.902641773223877,,,3.6328125e-05,13939.992002700386
1600,212.2292993068695,3.537154988447825,4.414690017700195,,,3.75e-05,13928.238367643435
1650,213.01808786392212,3.550301464398702,4.6623969078063965,,,3.8671874999999996e-05,20554.803476396493
1700,216.27028393745422,3.604504732290904,4.807710647583008,,,3.9843749999999996e-05,9134.496750263723
1750,217.02945947647095,3.6171576579411826,5.731983661651611,,,4.1015624999999996e-05,19008.317235519047
1800,217.80817675590515,3.630136279265086,4.540105819702148,,,4.2187499999999995e-05,25610.404617659686
1850,218.49154329299927,3.641525721549988,4.319084167480469,,,4.3359374999999995e-05,20078.19709039231
1900,219.1742913722992,3.6529048562049864,3.9105842113494873,,,4.4531249999999995e-05,13440.926119720601
1950,219.92188334465027,3.6653647224108377,4.355892181396484,,,4.5703124999999995e-05,22529.675905914937
2000,220.61771965026855,3.6769619941711427,3.774949550628662,,,4.6874999999999994e-05,15525.92359524567
2050,221.31030893325806,3.6885051488876344,4.2270731925964355,,,4.8046874999999994e-05,19265.47213550077
2100,221.97712016105652,3.699618669350942,4.341680526733398,,,4.9218749999999994e-05,27107.1627578198
2150,222.75555682182312,3.712592613697052,3.4534263610839844,,,5.039062499999999e-05,21033.14052889324
2200,223.44868183135986,3.724144697189331,3.665567398071289,,,5.156249999999999e-05,24208.455246426478
2250,224.15261721611023,3.7358769536018372,4.203714370727539,,,5.273437499999999e-05,23351.858898240578
