step,wallclock_time,elapsed_time,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec
0,164.16586995124817,2.736097832520803,17.68258285522461,,,0.0,96.58273423917927
0,188.22541332244873,3.137090222040812,,16.72743692398071,18392194.56182289,,
50,194.34499788284302,3.2390832980473836,10.211467742919922,,,3.75e-05,92191.16226680369
100,198.76928424835205,3.312821404139201,5.7514448165893555,,,7.5e-05,92839.81866375572
150,203.26458311080933,3.387743051846822,4.807847023010254,,,0.0001125,93604.13639719403
200,206.8281352519989,3.447135587533315,4.081560134887695,,,0.00015,93283.93546092551
250,211.2782256603241,3.5213037610054014,3.8441085815429688,,,0.00018749999999999998,93562.5898409206
300,215.74321460723877,3.5957202434539797,3.6148247718811035,,,0.000225,93135.00441283299
350,220.17173051834106,3.669528841972351,3.257714033126831,,,0.0002625,93662.82317600076
400,224.60363364219666,3.7433938940366107,3.258577346801758,,,0.0002999999999999999,90787.0962123314
400,225.13006806373596,3.752167801062266,,3.220618522167206,25.043605416960528,,
450,231.1696469783783,3.8528274496396384,3.0282833576202393,,,0.00029999893793135975,93386.87183668588
500,235.5970401763916,3.9266173362731935,3.1560356616973877,,,0.0002999957517421499,92140.72851798715
550,239.1618628501892,3.9860310475031535,3.0078115463256836,,,0.0002999904414825032,92850.85749338608
600,243.5716428756714,4.05952738126119,2.8714051246643066,,,0.0002999830072359731,92154.81474488263
650,247.9910192489624,4.133183654149374,2.7377305030822754,,,0.0002999734491195325,92148.14178478043
700,252.44161534309387,4.207360255718231,2.662944793701172,,,0.00029996176728357235,94023.44137172379
750,256.8649742603302,4.281082904338836,2.480786085128784,,,0.0002999479619118987,93833.43174084734
800,261.4248139858246,4.357080233097077,2.662668228149414,,,0.00029993203322173,90602.52288284867
800,261.9468584060669,4.365780973434449,,2.658157539367676,14.269972999457888,,
850,267.2036666870117,4.4533944447835285,2.5844645500183105,,,0.0002999139814636938,88266.20418522686
900,274.06229996681213,4.567704999446869,2.598153591156006,,,0.00029989380692182295,31311.358443970377
950,281.1937174797058,4.686561957995097,2.588954448699951,,,0.0002998715099135508,59635.033537151554
1000,289.1109001636505,4.8185150027275085,2.487196445465088,,,0.00029984709078970605,70137.37388648927
1050,296.68150568008423,4.944691761334737,2.359184741973877,,,0.0002998205499345079,67055.29834175434
1100,303.61425137519836,5.060237522919973,2.459336042404175,,,0.0002997918877655594,59180.319410810305
1150,312.48216104507446,5.208036017417908,2.3771510124206543,,,0.00029976110473384123,31596.178606208017
1200,321.09449887275696,5.351574981212616,2.46630859375,,,0.0002997282013237043,62720.85423679311
1200,321.83529138565063,5.363921523094177,,2.3970939040184023,10.991188474532613,,
1250,336.0431864261627,5.600719773769379,2.416003704071045,,,0.00029969317805286257,48590.068894906915
1300,344.2915060520172,5.73819176753362,2.4571597576141357,,,0.0002996560354723842,42467.40252013077
1350,354.03327989578247,5.900554664929708,2.508951187133789,,,0.0002996167741666837,43880.31969023017
1400,362.05404257774353,6.034234042962392,2.266143798828125,,,0.00029957539475351216,55110.49187290487
1450,371.22678995132446,6.187113165855408,2.36529541015625,,,0.00029953189788394776,65795.90164242068
1500,380.4503905773163,6.340839842955272,2.2126569747924805,,,0.00029948628424238555,25240.182712106198
1550,389.1433277130127,6.485722128550211,2.34257435798645,,,0.0002994385545465265,49861.252850428165
1600,398.4683394432068,6.641138990720113,2.0562517642974854,,,0.0002993887095473663,48280.9115662891
1600,399.6492440700531,6.660820734500885,,2.2636297225952147,9.617936326547623,,
1650,414.1143786907196,6.901906311511993,2.234408140182495,,,0.0002993367500291838,55031.93408930745
1700,423.16263604164124,7.052710600694021,2.244638681411743,,,0.000299282676809528,-10168.066868273703
1750,432.59852862358093,7.2099754770596824,2.1655004024505615,,,0.0002992264907392061,26720.007316174127
1800,443.21920371055603,7.386986728509267,2.168351650238037,,,0.00029916819270226923,58861.273009776596
1850,451.1745870113373,7.519576450188954,2.1518449783325195,,,0.0002991077836159993,66048.3493899708
1900,458.4453706741333,7.6407561779022215,2.107813835144043,,,0.0002990452644308939,45782.6458573452
1950,466.0026319026947,7.7667105317115785,2.2226004600524902,,,0.00029898063613065175,61605.73885852805
2000,474.34482407569885,7.905747067928314,2.1241724491119385,,,0.0002989138997321573,59410.24742585334
2000,475.1249907016754,7.918749845027923,,2.1745528101921083,8.798249754707486,,
2050,489.89842891693115,8.164973815282186,2.049065113067627,,,0.0002988450562854644,58271.7089512878
2100,497.7080407142639,8.295134011904398,2.0948331356048584,,,0.0002987741068737798,57961.57632396652
2150,505.31073021888733,8.421845503648122,2.019099712371826,,,0.00029870105261344654,53619.06201506838
2200,513.4582221508026,8.55763703584671,2.0866951942443848,,,0.0002986258946539259,29865.1523934025
2250,519.7132835388184,8.661888058980306,2.0790319442749023,,,0.00029854863417777945,72121.2939279957
2300,526.9920105934143,8.783200176556905,1.9994828701019287,,,0.00029846927240065075,75044.03818626177
2350,534.646810054779,8.91078016757965,2.0109214782714844,,,0.00029838781057124565,56843.50441880548
2400,542.8062658309937,9.046771097183228,2.01135516166687,,,0.0002983042499713132,59824.42263246875
2400,543.5664403438568,9.059440672397614,,2.0954774141311647,8.12932109669366,,
2450,558.6943788528442,9.311572980880737,2.116727113723755,,,0.00029821859191562507,57443.443636953336
2500,567.5819127559662,9.45969854593277,2.075697660446167,,,0.0002981308377519551,31639.61719823347
2550,576.1247658729553,9.602079431215921,2.060215473175049,,,0.0002980409888610581,46888.16128776941
2600,583.6098515987396,9.726830859978994,2.077948570251465,,,0.0002979490466566481,53163.842692004786
2650,592.3870689868927,9.873117816448211,1.9970731735229492,,,0.00029785501258537564,54912.761189998644
2700,600.8993232250214,10.014988720417023,1.974790334701538,,,0.0002977588881268059,26507.603148226153
2750,610.4386940002441,10.173978233337403,2.050657033920288,,,0.0002976606747933948,49781.13861168098
2800,618.5940630435944,10.309901050726573,1.9065701961517334,,,0.0002975603741304653,51160.02574101454
2800,619.4130296707153,10.323550494511922,,2.0171821773052216,7.517113170112934,,
2850,636.1052470207214,10.601754117012025,1.9788594245910645,,,0.00029745798771618325,57111.83827719066
2900,644.7792994976044,10.746321658293406,1.986785888671875,,,0.0002973535171615321,48474.15073374848
2950,655.1898884773254,10.919831474622091,2.005502223968506,,,0.0002972469641102884,46475.5397858538
3000,664.6439201831818,11.077398669719695,1.9806331396102905,,,0.00029713833023899507,42297.39426863482
3050,674.221179485321,11.237019658088684,1.9613381624221802,,,0.0002970276172569355,47409.352197873464
3100,681.2741641998291,11.354569403330485,2.007296562194824,,,0.00029691482690610653,52503.86732740139
3150,690.8634417057037,11.514390695095063,1.9508801698684692,,,0.000296799960961191,44136.39015016249
3200,699.9760866165161,11.666268110275269,1.9980331659317017,,,0.0002966830212295299,44842.532301616615
3200,701.159517288208,11.685991954803466,,1.9847462177276611,7.277200326652773,,
3250,714.8677034378052,11.91446172396342,1.9635308980941772,,,0.000296564009551094,33322.347059348365
3300,722.9712944030762,12.049521573384602,1.8076200485229492,,,0.00029644292779845477,63817.16941581586
3350,731.5343172550201,12.192238620917003,2.069197654724121,,,0.00029631977787675473,51790.818919167425
3400,739.6519594192505,12.327532656987508,1.852022409439087,,,0.00029619456172367805,47429.18127168045
3450,748.3718888759613,12.472864814599355,2.061112403869629,,,0.00029606728130941956,57574.9281866273
3500,757.0698835849762,12.617831393082936,1.9617104530334473,,,0.00029593793863665367,61714.50960839008
