step,wallclock_time,elapsed_time,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec
0,163.446702003479,2.7241117000579833,9.268219947814941,,,0.0,98.66219524814785
0,185.6010091304779,3.0933501521746316,,9.267081594467163,10583.818895257851,,
50,191.9382243156433,3.198970405260722,8.036151885986328,,,3.75e-05,83072.39240640987
100,196.8802149295807,3.2813369154930117,6.278617858886719,,,7.5e-05,90989.52756585271
150,201.8085913658142,3.36347652276357,4.981786251068115,,,0.0001125,83253.7498830901
200,206.63037276268005,3.4438395460446674,4.124394416809082,,,0.00015,84533.91190790752
250,210.11027932167053,3.501837988694509,3.868837594985962,,,0.00018749999999999998,92017.10301387766
300,214.73858642578125,3.5789764404296873,3.6248202323913574,,,0.000225,87639.65027534262
350,219.48260068893433,3.6580433448155723,3.249023199081421,,,0.0002625,90999.88973992267
400,224.16127061843872,3.7360211769739786,3.2454140186309814,,,0.0002999999999999999,91818.1750277247
400,224.71392464637756,3.745232077439626,,3.192459690570831,24.348242992771024,,
450,231.03060460090637,3.850510076681773,3.0244808197021484,,,0.00029999893793135975,88401.77928717161
500,235.64802193641663,3.9274670322736105,3.1298704147338867,,,0.0002999957517421499,88319.97565270141
550,238.91546630859375,3.9819244384765624,2.999006986618042,,,0.0002999904414825032,90895.65271035652
600,243.51219296455383,4.05853654940923,2.8531341552734375,,,0.0002999830072359731,89609.86646567754
650,248.15975785255432,4.135995964209239,2.7473766803741455,,,0.0002999734491195325,89184.68682075974
700,252.8202452659607,4.213670754432679,2.6590497493743896,,,0.00029996176728357235,88028.98719265839
750,257.4445376396179,4.290742293993632,2.500976800918579,,,0.0002999479619118987,89547.2781642147
800,262.1238377094269,4.368730628490448,2.6585726737976074,,,0.00029993203322173,90377.5537061392
800,262.67309832572937,4.377884972095489,,2.660440993309021,14.302595056854436,,
850,268.88678431510925,4.481446405251821,2.586803436279297,,,0.0002999139814636938,90478.93733311565
900,272.3301787376404,4.5388363122940065,2.604368209838867,,,0.00029989380692182295,90409.41982812608
950,277.1387553215027,4.618979255358378,2.604393482208252,,,0.0002998715099135508,89272.04373220261
1000,282.67178893089294,4.711196482181549,2.496375560760498,,,0.00029984709078970605,66317.07439882806
1050,291.3018250465393,4.855030417442322,2.390109062194824,,,0.0002998205499345079,65342.69684827485
1100,299.7449288368225,4.995748813947042,2.491426467895508,,,0.0002997918877655594,46037.33979325915
1150,306.79731583595276,5.113288597265879,2.3833119869232178,,,0.00029976110473384123,59314.355301908225
1200,315.60227632522583,5.260037938753764,2.481863021850586,,,0.0002997282013237043,45530.15119146529
1200,316.2643394470215,5.271072324117025,,2.4146575212478636,11.185938755122619,,
1250,328.0911054611206,5.468185091018677,2.437856912612915,,,0.00029969317805286257,46667.62424942107
1300,334.58302569389343,5.57638376156489,2.4787182807922363,,,0.0002996560354723842,46555.51390036827
1350,342.59116315841675,5.709852719306946,2.5236377716064453,,,0.0002996167741666837,58945.287116857005
1400,350.4027283191681,5.8400454719861346,2.299160957336426,,,0.00029957539475351216,52109.555818767774
1450,358.02086210250854,5.967014368375143,2.384930372238159,,,0.00029953189788394776,66123.97833826637
1500,364.9224417209625,6.0820406953493755,2.226048231124878,,,0.00029948628424238555,45813.35099747465
1550,372.88708448410034,6.214784741401672,2.383345365524292,,,0.0002994385545465265,61150.18458740218
1600,381.9844696521759,6.366407827536265,2.072366952896118,,,0.0002993887095473663,62090.78835300942
1600,382.71731901168823,6.378621983528137,,2.288348615169525,9.85864381630812,,
1650,397.1254050731659,6.618756751219432,2.248894214630127,,,0.0002993367500291838,77061.71570828464
1700,406.04081892967224,6.767346982161204,2.271200656890869,,,0.000299282676809528,29508.003005785708
1750,415.5653896331787,6.926089827219645,2.1744961738586426,,,0.0002992264907392061,46968.5999231765
1800,424.5703184604645,7.076171974341075,2.1997241973876953,,,0.00029916819270226923,57712.83174297102
1850,433.79997301101685,7.2299995501836145,2.1789798736572266,,,0.0002991077836159993,29835.977607216264
1900,443.51650643348694,7.391941773891449,2.1228504180908203,,,0.0002990452644308939,66597.28757028529
1950,451.972763299942,7.532879388332367,2.2599143981933594,,,0.00029898063613065175,59842.239551911276
2000,460.36611795425415,7.672768632570903,2.17287540435791,,,0.0002989138997321573,43021.0879660236
2000,461.08721685409546,7.6847869475682575,,2.209123694896698,9.107731743250469,,
2050,476.16483187675476,7.936080531279246,2.0758535861968994,,,0.0002988450562854644,42353.23354855251
2100,485.17215299606323,8.086202549934388,2.114042043685913,,,0.0002987741068737798,63610.76868164012
2150,493.62407422065735,8.227067903677623,2.0477826595306396,,,0.00029870105261344654,56525.371412026376
2200,503.1909737586975,8.386516229311626,2.10526180267334,,,0.0002986258946539259,52991.57675508945
2250,511.407128572464,8.5234521428744,2.076714515686035,,,0.00029854863417777945,67307.23630387215
2300,519.4498665332794,8.657497775554656,2.0140748023986816,,,0.00029846927240065075,56766.5900102597
2350,528.3618714809418,8.80603119134903,2.0418009757995605,,,0.00029838781057124565,43839.84093008538
2400,537.1343257427216,8.952238762378693,2.0050816535949707,,,0.0002983042499713132,48112.03407634973
2400,537.9623692035675,8.966039486726125,,2.118543636798859,8.319013156484846,,
2450,551.3117785453796,9.188529642422994,2.1302154064178467,,,0.00029821859191562507,58826.70706268276
2500,559.5705673694611,9.326176122824352,2.0909810066223145,,,0.0002981308377519551,43972.81032421876
2550,567.7324314117432,9.46220719019572,2.0718560218811035,,,0.0002980409888610581,59086.69158094216
2600,576.2277021408081,9.603795035680134,2.1235623359680176,,,0.0002979490466566481,44841.42038238173
