step,wallclock_time,elapsed_time,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec
0,2.1565184593200684,0.03594197432200114,9.256617546081543,,,0.0,41938.54768120236
0,4.38690972328186,0.07311516205469767,,9.25914568901062,10500.159106288003,,
50,29.38730764389038,0.48978846073150634,6.363478660583496,,,0.00015,66733.94176661782
100,51.170905113220215,0.8528484185536702,4.076760292053223,,,0.0002999999999999999,70444.63051499701
150,75.70687341690063,1.2617812236150105,3.399632692337036,,,0.0002999830072359731,66295.86562829366
200,99.96338224411011,1.6660563707351685,3.136228561401367,,,0.00029993203322173,76774.54705074342
200,102.96347069740295,1.7160578449567159,,3.1077935338020324,22.371627662383126,,
250,135.4350664615631,2.2572511076927184,2.847445011138916,,,0.00029984709078970605,76390.07114490935
300,158.6666383743286,2.644443972905477,2.831707000732422,,,0.0002997282013237043,66416.2283529481
350,183.02445316314697,3.050407552719116,2.7166993618011475,,,0.00029957539475351216,63102.531132318894
400,207.0109884738922,3.4501831412315367,2.564169406890869,,,0.0002993887095473663,63969.665130402485
400,210.03051161766052,3.5005085269610086,,2.5575324416160585,12.90393678078968,,
450,242.29056072235107,4.038176012039185,2.4734153747558594,,,0.00029916819270226923,79071.1562242545
500,266.09267473220825,4.434877912203471,2.440284490585327,,,0.0002989138997321573,73613.24870316185
550,290.01799511909485,4.833633251984915,2.348226547241211,,,0.0002986258946539259,76133.59457665875
600,313.74493932724,5.229082322120666,2.2860214710235596,,,0.0002983042499713132,71755.67459514434
600,316.84622287750244,5.280770381291707,,2.325307881832123,10.229829179541849,,
650,349.68424820899963,5.828070803483327,2.3099679946899414,,,0.0002979490466566481,81335.12378017098
700,372.4646348953247,6.207743914922078,2.2430577278137207,,,0.0002975603741304653,68076.59540727144
750,396.46153950691223,6.607692325115204,2.1874446868896484,,,0.00029713833023899507,66662.02014620745
800,420.61044669151306,7.010174111525218,2.0653076171875,,,0.0002966830212295299,69221.29652515914
800,423.3212950229645,7.055354917049408,,2.1821935296058657,8.865732191291944,,
850,456.39251470565796,7.606541911760966,2.1766786575317383,,,0.00029619456172367805,78169.90564938847
900,480.6981976032257,8.011636626720428,2.0889291763305664,,,0.0002956730746885081,75500.06178483418
950,505.0999376773834,8.418332294623058,2.0763001441955566,,,0.0002951186914055921,63713.12256107935
1000,529.6528551578522,8.827547585964203,2.068342685699463,,,0.00029453155143795715,68735.59523308216
1000,532.7621796131134,8.879369660218556,,2.086097502708435,8.053425289314296,,
1050,568.73863530159,9.4789772550265,2.0274887084960938,,,0.0002939118025949499,76228.30811246423
1100,591.9536921977997,9.865894869963329,2.0131635665893555,,,0.00029325960089502756,65471.00202835892
1150,615.1918103694916,10.253196839491526,2.0304903984069824,,,0.0002925751105264802,63200.55175458281
1200,638.8526589870453,10.647544316450755,1.9679313898086548,,,0.0002918585038060976,70947.76878408619
1200,641.9265401363373,10.698775668938955,,1.9952264487743379,7.353868113776358,,
1250,674.2483885288239,11.237473142147063,1.9501566886901855,,,0.00029110996113578935,74171.96946966962
1300,697.8982708454132,11.631637847423553,2.027956008911133,,,0.0002903296709571698,65224.4258754633
1350,721.8553133010864,12.03092188835144,1.9627991914749146,,,0.00028951782970411844,64510.005356474
1400,746.1797997951508,12.436329996585846,1.9436089992523193,,,0.00028867464175332935,69847.47859151365
1400,749.18488073349,12.4864146788915,,1.9414771735668181,6.969037849511413,,
1450,781.057944059372,13.017632400989532,1.9553310871124268,,,0.0002878003193728599,70144.60466906131
1500,804.3781814575195,13.406303024291992,1.9292633533477783,,,0.00028689508266869384,74368.30744906214
1550,828.5463037490845,13.809105062484742,1.9124772548675537,,,0.0002859591595293303,64175.0789573338
1600,852.6242160797119,14.210403601328531,1.8535099029541016,,,0.00028499278556841465,72438.58220423893
1600,855.4316024780273,14.25719337463379,,1.8714060008525848,6.497425365719351,,
1650,887.4461674690247,14.790769457817078,1.8359426259994507,,,0.00028399620406542353,75250.91776924007
1700,910.9423091411591,15.182371819019318,1.8939141035079956,,,0.0002829696659044209,78626.22366539207
1750,935.1359186172485,15.58559864362081,1.8407819271087646,,,0.00028191342951089924,63939.81566546717
1800,959.7294292449951,15.995490487416586,1.7858185768127441,,,0.0002808277607867218,64158.242708036225
1800,962.8369429111481,16.04728238185247,,1.8523603618144988,6.374848727953599,,
1850,994.7019543647766,16.57836590607961,1.8571653366088867,,,0.0002797129330431844,63633.77035830845
1900,1017.5539178848267,16.95923196474711,1.8637206554412842,,,0.00027856922693220946,74992.03556692424
1950,1041.8007628917694,17.363346048196156,1.8527600765228271,,,0.0002773969303756941,70359.66609210613
2000,1066.1561443805695,17.76926907300949,1.8325259685516357,,,0.00027619633849302737,62805.46310790704
2000,1069.0888628959656,17.81814771493276,,1.8176775932312013,6.157541515351261,,
