model_size,num_params,context_length,batch_size,warmup_steps,measure_steps,forward_mean_ms,forward_std_ms,forward_cv_percent,backward_mean_ms,backward_std_ms,backward_cv_percent,total_mean_ms,backward_forward_ratio,error
small,128625408.0,512,4,5,10,95.55032629868947,11.888969836192857,12.442626097401325,176.47593000001507,5.075743855444539,2.876167789819329,272.02625629870454,1.8469422014149162,
medium,423183360.0,512,4,5,10,247.2376854988397,6.63096256244321,2.6820193487348956,514.4135136004479,1.6591702678239035,0.3225362911271814,761.6511990992877,2.0806436226036507,
large,969411840.0,512,4,5,10,608.2852524988994,6.410991831521054,1.053944971571155,10249.371461400006,270.14121133998816,2.6356856355276284,10857.656713898905,16.849613597065716,
xl,,512,4,5,10,,,,,,,,,OOM
2.7B,,512,4,5,10,,,,,,,,,OOM
