model_size,num_params,context_length,batch_size,warmup_steps,measure_steps,forward_mean_ms,forward_std_ms,forward_cv_percent,backward_mean_ms,backward_std_ms,backward_cv_percent,total_mean_ms,backward_forward_ratio,error
small,128625408,512,4,5,10,37.938504900006365,0.07883928029920087,0.20780808444348484,86.22830079999062,6.6418234451355005,7.702602722673879,124.166805699997,2.2728439359236887,
medium,423183360,512,4,5,10,91.7563456000039,0.9276214087879092,1.0109615882390481,211.2281563999943,3.0035429257393615,1.4219424990159326,302.9845019999982,2.30205502430107,
large,969411840,512,4,5,10,177.87623660000236,0.35041638261294605,0.1970001104762194,379.1201979999869,2.11565477105188,0.5580432755133644,556.9964345999891,2.131370694853018,
